,댓글
207,@c__seungyeon97 그만그만
208,@6uophyuk 이정도야
209,@h___ttaek 멘탈관리법
210,@itsursky 자서전?
211,@dmswjd9475 저거 니가 다 검색한거라매
212,@h___ttaek 나 저책 사줘라
213,@swim._00 스윙스 몰래 검색했는데ㅡㅡ 들켰노
214,@dear_.beom_ 이거 내가 알려준거야 디엠으로 ㅜ ㅜ ㅜ나 7년째 덕질 처음으로 인스타 답장받았다고오오 ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜㅜ진짜 ㅜ ㅜ ㅜ ㅜ. ㅜ ㅜㅜ. ㅜㅜ ㅜ사랑해여 ㅜ ㅜ ㅜ ㅜ
215,Thanks for clearing it up! I hope Mino's fans understand this as well. Much respect to you for speaking up instead of ignoring the situation! 🔥❤️
216,thanks for clearing that up boss😌
217,Just like YunB said: Jonathan Moon u r the best
218,period cudi you shouldn’t have to even explain this 💀
219,You're the best 💪💪💪❤❤❤
220,Also your voice is amazing swings 💖😂💖😂
221,Because it’s the same color he has to make a whole clarification video. Come on people.
222,👍👍👍
223,i really appreciate swings on coming out like this and clarifying the things ❤️🔥🔥
224,화이팅하세여
225,👏
226,Let’s do not judge a book by its cover period
227,킵고잉 형
228,👍
229,Keep doing english content like THIS. Youre The boss 💣🙌
230,"ahh it's a coincidence, why do people gotta be so childish 🤷‍♀️ i love you both 💕"
231,"많은 시간동안 공들여 만든 앨범이었기에 더욱 아쉬움이 크겠지만, 최종이 나왔을때 이미 출시된 도안이 없었는지 확인 한번만이라도 해보셨으면 좋았을 것 같아요 ㅠㅠ 에휴 디자이너분들이...항상 고생 하시죠 홧팅하세요 행님"
232,"you're the best, king as always never disappointed us"
233,👏🏻
234,👍
235,오빵❤️
236,곧 베스트셀러 되시겠어요!!🎉
237,🔥🔥🔥
238,You are the best👏👏👏
239,토종 한쿡인들을 위한 요약: 스윙스 형님의 책 커버가 최근 2주전 발매된 송민호의 앨범커버와 매우 유사한 점에 대해 표절이 아니냐는 의혹이 생겨서 이 영상을 만들었다. 출판사로부터 데이터를 가져왔으니 스토리를 확인 바란다. 9월-10월부터 상의를 해왔던 일이고 송민호와도 좋은 친구 관계이기 때문에 이건 100프로 우연이고 이 일에 대해서는 운이 안좋았다고 생각한다. 끝!
240,형 왜 맨날 칼하트에요.....
241,honestly feel like ppl only say this because it’s Orange 💀💀
242,🖤
243,욕 먹을 이유가 없는데
244,♥️♥️
245,♥️♥️♥️♥️♥️♥️♥️♥️
246,🔥👏
247,👍👍👍👍👍👍👏👏👏👏👏👏
248,"It happens! Creative minds and all, not that you should have to explain yourself to anyone! You've got our support 💯💯 Peace and love ❤️"
249,아이씨 별거 가지고 시비야 그냥 ph-1 따라서 주황색 썼다고 시비걸지 그러냐?
250,와중에 영어발음... 하윽
251,I wonder he is using english intead of korean to explain just because intl fans get more reaction than local? #justcurious #notaccusing
252,Lol why are people even coming at you over a coincidence🤦🏻‍♂️ Only love and respect for the hard work you do 🙏❤️
253,"You so real man .....
⚡"
254,You did well when you clear the situation not just ignore it so people won't understand you wrong
255,You wrote a book
256,스윙스짱
257,근데 사실상 스윙스님이 왜 굳이 송민호님 앨범커버를 표절하겠음... 자기 프라이드가 엄청 높은사람인데.. 근데 참 시기 희안하네 진짜 숨만 쉬어도 욕먹도록 설정되어있나봐... 좀 요즘 소식좀 보고 발행하시지 .. 그래도 같으면 기분찝찝한건 사실이니깐..... 지금이라도 새파란색으로 커버덮으세요 이유는 제가파란색좋아해서ㅋ 무튼 전 책 사서 읽을거임 ㅋㅋ
258,can someone tell me what hes saying on his story?
259,Yeah those people don't know how the process works. Album and book covers .. they follow design trends and can easily resemble each other. Don't trip. Anyone who thinks you had any thing to do with plagiarism don't know you and your level of integrity.
260,❤️
261,❣️
262,👍🏻
263,🙏
264,💙💙💙
265,@d__222_
266,You're the best 🙇🏻‍♀️
267,@neil_c70
268,you are the bestest 💕
269,periodt 💅🏼
270,So much Respect for you👏
271,Rapper/writer and a ceo of two labels 🙌
272,Respect 🔥❤️
273,🙏🏽🙏🏽
274,You are the best❤️
275,You owe nobody an explanation but we know you had to clear your name from allegations......keep up the good work👍👍
276,Its not matter to us ❤️✌🏼
277,Thank you for clarifying!!! Best to you too;
278,WE LOVE A CEO THAT DOES HIS OWN PR ❤ MAD RESPECT FOR THIS DOPE BOSS
279,there is ONE king
280,Swings og king 🔥 your fans got your back and support keep it up! Keep doing you. Creative minds think alike you did nothing wrong bro💙
281,one and only
282,Apaansih komenannya sok iye bgt
283,"Me derrito por su voz y su cara 🤤, te queremos SWINGS ❤️"
284,멋있다
285,해석 좀ㅋ
286,❤️🔥❤️
287,Thanks for clarifying! Noticed they looked super similar but didn't think you copied him cus it usually takes a long time to plan that type of stuff 😂👍👍
288,더 전에 구상한건데 시기가̆̎ 겹쳤네
289,don’t worry about it king!!! we’ll keep supporting you both regardless!!!
290,nah thats just coincidence i guess 🤷🏻‍♀️ but thx for made it clear 💯 congrats for ur book anyway👏🏼
291,Thank you for clearing up. 💖
292,Thx 4 clearing things up🙌
293,"Loving the clear explanation! Keep on doing what you're doing, supporting you always! 🧡🖤"
294,멋져요! 꼭! 읽어보겠습니다. 한남동 맥심플랜트에서 만났던 [자기신뢰]지참자 입니다. 그 후로 자기신뢰가 강화되어 멋진 일상을 살고 있어요.^^ 얼마전엔 청담 에르메스 앞에서 뵜으나. 차안에 있어서 인사를 못했네요. 누구보다 강한 신념의 소유자! 스윙스! 당신을 응원합니다.👍👍👍출간을 축하합니다.🎉🎉🎉
295,"I think you worry too much about what people think and say,Your doing fine young man! Do your thing!"
296,Dang people be so petty you do you Swings
297,"After I know this coincidence, I didn't say anything. I thought you guys maybe collaborating something like orange series, you know, you all rappers friends make cool things always 🔥😂.Turn out, is me thinking too much 🤭..Anyway, just to let you know, I trust you 😊. I hope you won't suffering that much 😢💙. Best wishes! Fighting"
298,@carharttwip_kr
299,스윙스님 저 이상한거 아니고요 ㅠㅠ 제발 제 DM한번만 봐주세요 정말 부탁드려요 ㅠㅠ 정말 전해드리고 듣고 싶은 답변이 있어서 그래요
300,Do people really get pissed about what is essentially a colour and a font...? It would be different if it were an image but man that seems ridiculously petty for people to be up in arms over
301,"Keep doing you. Hope you know that a lot of people appreciate and support you. You are an inspiration now more than ever, for the way you're dealing with the hardships and stupid hate. I get my strengh from you 🖤"
302,형 뭔상관이야 ㅎㅎ 그냥 읽으면 읽는거지 읽지도 않을 놈들이 왈과왈부하는거 들을필요없짜나
303,"Why are these guys making fuss about it? That's not hiphop Haha we love you swingsnim, one of most talented rapper i know and i may not know you personally i know you're a good sajangmin to indigo and just music ❤️ good luck on your album godbless always. hwaiting 👍"
304,Thank you for clarifying.
