,댓글,출처
54125,@미친짱개는몽둥이가답 imf에서 2.1%라는데 어쩌라는거임 애미듸진새끼야 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54126,@문제인만새 아니 정확한 수치가 아니고 예를 들어 비유를 하면 그렇다고 항상 90점 맞던 학생이 기말고사 때 60점 맞은 거랑 항상 70점 맞던 학생이 50점 맞은 거랑 비교를 해보라고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54127,이건 마치 성적표를 숨기는 아이의 마음이랄까 ㅋㅋㅋ 언젠가는 개털리지ㅠ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54128,@익명2fd25d 최하위권 팩트,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54129,"@익명71750b 답정너 시전ㄷㄷ

애초에 코로나 고의적으로 범벅해놓은 나라들이 oecd가입국들이고

G20+12= 32개국이 지구전체의 GDP 85%를 차지하는데 나머지 개잡쩌리국들 끼워서 평가해봐야 의미없기때매

경제성장률비교 라는 단어자체가 주요국들 이야기임",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54130,"@익명12e82a 애초에 주요국최하위권 이란말을 쓰지않는대니까 병신아 ㅋㅋ

GDP비교자체가 급이 되는 나라끼리 묶어서 '세계' 로 통칭하는거래니까 말장난하고있노

못배워쳐먹은거 알겠으니 아프리카 개잡부족 지디피까지 조사하세여 병신 짱개새끼야

병신은 뭐다? ㅂㄹ^^ ㅅㄱ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54131,"문재앙이 저번주에 경제회복 되고 있다고 발표한거

잊었냐?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54132,"독재 정권 더불어공산당 언론 통제 보소
이미 우한코로나 전에 OECD 꼴찌로 떨어져 더 떨어질 것이 없는 상태에서 선방했다고 조작한거마저 뽀록나버렸네
어차피 부정 선거 또 하면 되는데 왜 기사 삭제하고 난리일까
우덜 경제가 잘 돌아가는걸로 k-방역을 전세계가 부러워한다고 개돼지들이 믿게 만드는게 중요하거든
그래야 조작된 선거 결과를 수긍하게 됨",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54133,이거 기사 칼삭된거 홍팍에도 좀 퍼뜨려 줄래? 난 홍팍 계정없음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54134,씨발 문재인 좇같은 새끼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54135,그래도 일본보단 우리가낫지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54136,@생각이란걸못함 그건 모르겠고 짱깨 병신들보단 나음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54137,@스퀏하는김대중 와 시뚝거리다 해서 북한말인데 컨셉 오지게 잡고 노력하네;;;,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54138,"개씨발새끼들 아무리 감추고 포장해도 국민이 느끼는건 100배다 ㅆㅂ놈들아
국민의 칼날이 문심장에 꽂히게 될것임
부정선거 대놓고 하는 완전 독재국가 인데 뉴스 감추는건 아무것도 아니지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54139,http://biz.newdaily.co.kr/site/data/html/2020/08/12/2020081200004.html,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54140,문.재.앙.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54141,문씨발 개새끼야 넌 사형이야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54142,"훠훠훠 우뤼 환귝경줴 귀좌뉨 요쥼 퓌곤화쉰궛 괕운뒈

괕위 샨챽 환붠 활꽈요?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54143,"이 모든게 전정권 탓이지.

저딴게 어찌 통이 되었을꼬.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54144,"마치 20~21세기 북좃선과 16~20세기 좃선시대의 좃선인들이 짱개를 온갖 비굴한 사대사상으로 섬기며 자기들이 세계의 중심이라 믿는 신념 같노.

캬~ 동양인들의 피해의식, 열등의식에서 발로한 특유의 좌파화 + 아프리카 흑인들수준의 노예근성 + 세뇌화하는 좃선인의 종특을 잘 보고 간다.

좌파 + 세뇌 = 인민의 평등한 노예화로 종족간 통치 = 공산당

좃선인에게 자유민주주의는 사치 = 현재 북조선 또는 대한민국의 언론 행위의 세뇌 = 세뇌된 개돼지가 언론과 정부에 충성하며 스스로 반대하는 사람들을 억압하며 개돼지들 스스로 전체주의를 지향하는 모양새

결론, 좃선인들은 서로를 조작하여 가짜뉴스를 쳐보내면서 서로를 선동, 세뇌 및 통제 하고자 하는 졍신병자들임

좃선인의 가장 큰 문제 = 걍 홍어들의 대가리를 깨버리면 되는 것을 눈알 부라리는 전라도의 카르텔이 먹히는 민족 = 쫄보 민족성 = 어느 누구도 불이익과 독재와 부당함에 당당히 나서지 않는 씹선비 문화에서 비롯함.

욕심과 사심없이 후세에게 자유대한민국을 남겨 주고픈 유일한 맘에서 시작한 50~70대 태극기 집회 어르신을 틀딱 쓰레기 극우집회라 폄훼하는 언론과 이에 동조하는 10~40대 정신병자들이 좃선인 종특 그자체임

극우라는 일베조차도 쓰레기 좌경화된 좃선인 종특을 그대로 보여 줌

결론, 짱개에 맞서 데모하는 홍콩 짱개만도 못한 좃선인들은 우리 스스로 제발 지구상에서 사라지자.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54145,문재인 정권 끝나는 순간부터 제2의 노짱될듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54146,기사가 잘못된 거여서 지운 건 아니고? 저 OECD 자료를 찾아봐야겠네.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54147,OECD 홈페이지는 Q2까지만 나오는 것 같은데....,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54148,Q3 찾아보니 정말로 꼴찌네. ㅋㅋ https://kr.investing.com/news/economy/article-524962,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54149,억지탄핵 재앙집권 그때부터 망하기시작했다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54150,시발 이게 나라냐??,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54151,"https://n.news.naver.com/article/023/0003575449?cds=news_edit

링크 달라는 애들 많아서 댓글로 띄운다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54152,@익명c3ccf4 솔직히 공감한다. 겉으로는 인격적으로 대우해주고 (인간취급) 속으로는 게이 같은 마음으로 상대하는 게 맞다. 어짜피 연애하고 물고 빨고 하다가도 헤어지면 남이고 결혼해서 애새끼 생겨도 이혼하면 남이다. 그거 때문에 괴롭다고 술쳐먹고 자괴감 갖는 것 보다 애초에 남자가 아닌 인간은 그렇게 '다스린다' 라고 생각하고 대하면 된다. 그게 이치에 맞다고 본다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54153,@익명c3ccf4 비융신 너 빼고는 이미 다 여자라는 존재는 단지 그냥 섹스의 대상으로만 보고 그렇게 따먹고 버리고 했다 지금까지 호구짓한거 자랑하냐 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54154,@익명14e3f4,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54155,너희가 찍었으니 돈 내고 검사받아 병신들아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54156,"@불알민족 조작으로 당선되었다.
부정선거 주범은 사형이다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54157,"원래 중국은 아시아의 주인님임.
주인님 잘 섬겨야지.
스스로 그러길 바래놓고는 왜 화내는지 모르겠노.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54158,"개씨발놈의 새끼 누가 짱깨 하수인 아니랄까봐 ㅋㅋㅋ

대가리에 뭐가 들었길래 저딴 아이디어가 나왔을까 ㅋㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54159,"중국공산당의 로비 자금이 한국에 뿌려진건만 2조원이 넘는다고함
미국에 뿌려진 공상당 로비 자금은 10조라고 함
언론과 미디어가 왜 부정부패를 감추고 민좆당을 빠는지 알아야 함
다 돈 때문임
결국 돈에 나라를 파는 새끼들이 민주당인것임",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54160,자국민에게만 서슬퍼랬던 조선의 전통을 계승한 위대한 지도자 문재앙 동무답노.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54161,그러니까 꼬우면 괜히 중국갔다가 돈쓰지마라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54162,일본이 한국인들 입국 막겠다 할때는 상호주의에 입각한다며 똑같이 하다가 짱깨새끼들한테는 그런거 없네 ㅋㅋㅋㅋ 역겨운 정부다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54163,중국한테는 굽신굽신. 싸바싸바잘하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54164,미친 문재앙 시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54165,국민을 위한 세금은 없숩니다. 훠훠훠~~,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54166,동족을 노예로 부리면서 사고팔았던 조선인들의 후손이 맞네 ㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54167,Fucking China,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54168,코로나검사 원래 무료아니냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54169,짱께똥꼬 쪼~옥 쪽!,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54170,어떻게 자국민 보다 외국인이 우선이노 중국 따까리 새키,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54171,틀무새들 찍소리 못하노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54172,문재앙 시발새끼 짱깨한테는 찍소리도 못하죠,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54173,극우당 뽑아서 자국민에게 이득도 안되는 저런 어처구니 없는 정책들을 싸그리 제거 시키고 자국민들에게 써야함 날 뽑아주셈 ㅇㅇ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54174,워 셔 중궈런,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54175,진짜 참 병신같은나라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54176,당연하지 짱깨새끼들이 뽑아줬는데 발바닥이라도 핥을듯 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54177,짱꼴라의 개부터 다 죽여야 함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54178,이런 병신민국에서 애국심은 개돼지나 가지라고 해라 ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54179,"저시킨 언제나 사람처되려는지
짱개인이 되기로 한건가",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54180,"너드덜이 피땀흘려 내는 세금 홍어새끼들 과 짱개새끼들이 냠냠냠 꺼어어어어어어엌

이런 개가튼 정권 하에서 탈세를 하는 것은 정의다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54181,"마치 20~21세기 북좃선과 16~20세기 좃선시대의 좃선인들이 짱개를 온갖 비굴한 사대사상으로 섬기며 자기들이 세계의 중심이라 믿는 신념 같노.

캬~ 동양인들의 피해의식, 열등의식에서 발로한 특유의 좌파화 + 아프리카 흑인들수준의 노예근성 + 세뇌화하는 좃선인의 종특을 잘 보시라!

좌파 + 세뇌 = 인민의 평등한 노예화로 종족간 통치 = 공산당

좃선인에게 자유민주주의는 사치 = 현재 북조선 또는 대한민국의 언론 행위의 세뇌 = 세뇌된 개돼지가 언론과 정부에 충성하며 스스로 반대하는 사람들을 억압하며 개돼지들 스스로 전체주의를 지향하는 모양새

결론, 좃선인들은 서로를 조작하여 가짜뉴스를 쳐보내면서 서로를 선동, 세뇌 및 통제 하고자 하는 졍신병자들임

좃선인의 가장 큰 문제 = 걍 홍어들의 대가리를 깨버리면 되는 것을 눈알 부라리는 전라도의 카르텔이 먹히는 민족 = 쫄보 민족성 = 어느 누구도 불이익과 독재와 부당함에 당당히 나서지 않는 씹선비 문화에서 비롯함.

욕심과 사심없이 후세에게 자유대한민국을 남겨 주고픈 유일한 맘에서 시작한 50~70대 태극기 집회 어르신을 틀딱 쓰레기 극우집회라 폄훼하는 언론과 이에 동조하는 10~40대 정신병자들이 좃선인 종특 그자체임

극우라는 일베조차도 쓰레기 좌경화된 좃선인 종특을 그대로 보여 줌

결론, 짱개에 맞서 데모하는 홍콩 짱개만도 못한 좃선인들은 우리 스스로 제발 지구상에서 사라지자.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54182,"언론들아! 무슨 민주주의 국가에 북한공산당도 아니고 개대중, 노무현, 518에 어떠한 발언도 못 하게 만든 뉴스, 방송문화부터 뜯어 고쳐봐! 이거 골때리지 않냐? 개대중, 개무현, 518에 대해 왜 아무말도 못 해야 하는데? 정신병자들아?

니들이 20년 동안 만들어낸 좌경화된 세상에 의해

박근혜 대통령까지 탄핵시켰고 결국, 대한민국 정통 보수 대통령은 다 찢어 죽일 대통령이 되고

김일성 수하의 간첩 대통령들 개대중, 노무현, 문재인만이 존경하는 대통령 됐고

결국, 중국몽 짱개화의 역습은 이미 시작했으나 언론은 일반국민을 개돼지로 보고 짱개 공산당 정책의 대한민국 상륙에 대해 어떠한 뉴스도 보내지 않고 있으며...

곧 니들 대세인 문재인 뜻대로 짱개식 공산당화 되면 니들 스스로 만들어 놓은 좌경화된 세상에서

곧 니들 심장 도려내는 문화혁명을 맞이 하면 좋겠어

왜 좌파들은 하나같이 무식해서 자기 스스로 뒤지는 킬링필드의 역사 모르고 소신만을 가질까? 일반 대한민국에서 애국이란 단어를 배울때 삼성과 경상도 타파하고 전라도 호남식당, 금호고속, 금호타이어, 해태제과, 프라임 사전, Kia자동차, 아시아나 항공이라는 애향심의 밥상아래 정치문화를 배우는 홍어새끼들 마냥 어떤 찌질한 유아시절 피해의식과 열등의식을 쳐받았길래 얼마나 개무식하면 소민만 앞서서 ㅉㅉㅉ

그땐 광화문에서 인민 재판 받으며 니들 심장 도륙하여 인육하는 짱개들 모습을 평생 머릿속에 박아 놓고 5000년 역사에 이완용보다 만배급 나라 팔아 먹은 매국노 역적이 대한민국 방송,언론인들이였다는 역사서를 세상에 퍼트리고 생을 마감해주마.

이념에는 정의가 없으며 이념에 대해 부끄러움은 코메디인 것을... 좃선인 종특의 쫄보문화는 이제 그만하며 세상은 기브엔테이크고 홍어가 발작을 하면 경상도는 불끈해야 하며 작용이 있으면 반작용이 있다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54183,문재인 저개새키 어떻게든 죽여야하는데 씨발,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54184,"난 이거 오히려 괜찮다고 보는데?

혐중감정 전국민에 퍼져야 됨.

절대 한명도 개중국 안가도록.

그 다음 국내의 짱깨 좇족 추방이지.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54185,얼마나 살거라고 오동나무괸이나 짜주면 되지 차는 뭐할라고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54186,"나도 돈모아서 아버지 차사드리고싶다.
작성자게이는 모든 아들들의 로망을 이룬거 아님?ㅎㅎ
너무 멋지다..!!",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54187,아들 착하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54188,친절한 일게이들 일베수 보소 ㅋㅋㅋ 효자는 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54189,더 좋은모델로 안해줘서 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54190,"아니 바꿔줄거면 다른 suv모델로 해주지 왜 같은걸?
노인네들도 최신식 유행 이라는거 안다
나 같음 팰리세이드나 최근 나오는 걸로 해주겠다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54191,"@차유한 좆리세이드보다 쏘렌토가 훨 예쁨
크기도 과하지않고",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54192,@더빨어꼴린당 문제는 그 전에도 쏘렌토 였다는거,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54193,@차유한 신형이자너,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54194,"ㅋㅋㅋㅋㅋ

2011년식 최신작

ㅇㅂ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54195,"하~~ 시바련 사람 기만하네.
이것도 능력이다 시발런아",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54196,홍어다ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54197,"새차로 사야지 시발 또 몇년타다 정비소 처박을걸 사네 라고 생각했는데
21년식이었네 그래도 기아홍어 ㅁㅈㅎ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54198,자기탈려고 산거라 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54199,옆집 무현이는 팰리세이드 사줫는데 에휴,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54200,2021을 2011로 잘못 쓴거 겁나들 따지고드네 ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54201,멋지다 ㅇㅂ 효자네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54202,아버지랑 같이 인증 안하는 이상 보류,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54203,능력효자게이네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54204,잘했다 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54205,경유차 사드리면 불효자다..경유차는 소음공해 매연공해..사라져야한다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54206,ㅁㅈㅎ누른 병신들은 자살해라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54207,"어설픈 온정에 끌려서

자기가 뭔가 해보려고 모은 돈을 한방에 날렸네;;

효도는 내가 충분히 잘먹고 잘살면서 돈이 남아돌때 하는거다

힘들게 모아 내 포텐셜을 실행할수 있는 돈을 동정심때문에 써버리는건

잠깐 기분좋자고 자신의 미래를 희생시키는 거지",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54208,@약물 넌 부모가 그냥 존나 ㅆㅎㅌㅊ인듯?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54209,"@약물 와 나랑같은생각이노 이기딱ㅂ ㄲ따닥

인생조언좀",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54210,2021년식으로 바꿔준거 아니냐 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54211,효자추,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54212,난 아부지가 2년전에 전역 선물로 싼타페 인스퍼레이션 풀옵으로 뽑아줬는데ㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54213,애비가 니 인생을 말아먹었구나,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54214,@Carbine 와 이새끼 네임드 좌빨분탕새낀데 과학이네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54215,"@사시랑이 지랄하네 미친년이 ㅋㅋㅋ

시진핑개새끼나 먹고 김대중이랑 홍어나 먹어라",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54216,"@Carbine ㄷㄷㄷㄷ

진짜개새끼네",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54217,@사시랑이 니애비 시진핑개새끼라고?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54218,@Carbine,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54219,"니차라서 ㅁㅈㅎ 주려다
착한게이 같아서 안줌",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54220,몰래가따주면 아빠 차 못탈껄 존나 바껴서,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54221,"아버지타던차는 어쩔거냐?
나주면 15년은 더탈수있는데",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54222,"효자는 ㅇㅂ야

우리 남의꺼 달창빨갱이클리앙충처럼 욕심내지말고 열심히일해서살자",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54223,좃나 착해서 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54224,그래도 좀 물어보지 그랬노~ 아부지 SUV 19년 타서 이제 세단 타고 싶을 수도 있는데..,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54225,@라스트버츄 ㅋㅋㅋㅋㅋㅋ ㅇㅈ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54226,효도게이 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54227,오 멋있다 효자게이는 ㅇㅂ야 질투심에 불탄 게이들말은 무시해라 이기야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54228,아니 새차도 아니고 2011년식 중고? ㅋㅋㅋ 민주화나 쳐먹어라 이기 ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54229,k7 아니어서 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54230,@윾윾엒윾윽 소렌토 19년 타셨고 연세도 있으실텐데 뭔 k7이노 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54231,찐 저장소답게 2011 가지고 물고 늘어지네 ㅋㅋ 병신들,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54232,저거뭐여? 똑같은 차라는게 내부는 같고 풀체인지된 차 사드렷다는거?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54233,기아라서 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54234,존나 멋있네 쏘렌토 새뺑으로 뽑아오는거 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54235,@아린소혜미만잡 쌔삥이니까 3천정도 하겠디?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54236,니가탈거자나 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54237,주소.핸폰번호 노출됫다 지아라,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54238,멋있다 자동차 ㅇㅖ쁘다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54239,"이렇게 애비 존경하는 게이들 보면 너무 부럽다
적어도 애비가 멋져 보이고 게이들한테 뭐라도 해줬다는 반증 아니냐
나는 우리 애비 좀 뒤졌으면 좋겠는데
진짜 개민폐 병신 호구새끼라 아주 씨발 하는짓거리 보면 존나 속터짐
가족이 반대하면 뒤져고 고집 안꺽고 사기꾼이 옆에서 바람 불면
홀려서 호구처럼 해먹은게 30년이 넘었다
진짜 사망 보험금 이빠이 넣고 자식들을 위해 공부고속도로에서
사망사고 나서 자식들한테 효도좀 하고 갔음 좋겠다 ㄹㅇ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54240,이 시바쉐이끼 ㅈㄴ 내가슴을 뭉클하게하네 효자는 일베다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54241,2021년식 븅신아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54242,2011년식이고 ㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54243,똥꼬 깨끗히 씻고 대기하고있을께,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54244,효자네 멋지다.아버지가 얼마나 기뻐하실까...넌 복받을꺼다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54245,"아빠를 많이 사랑하는구나..
너무 부럽다.",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54246,마인크래프트 하려는데 괜찮은 노트북 추천좀,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54247,"@그냥미친애 노트북으로하면 헤어드라이기빙의한다
마크는 컴으로해라 ㅋ",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54248,무적권 효자 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54249,2002연식 아니다 먼 개소리노~,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54250,구형 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54251,어휴 어차피 할부는 아부지가 내실텐데 생색은 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54252,효자는 일베지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54253,ㅠㅠ ㅎ ㅅㄲ 존나 멋지노 ~ 2ㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54254,효자네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54255,21년식 효자는 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54256,효자 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54257,훈훈하구만 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54258,2021년식,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54259,울엄마 살아계셨음 bmw로 모시고 전국 다닐텐데.효자는 ㅇㅂ.근데 너땜시 엄마생각나서 눈물난다.얼른 다른생각해야지.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54260,@5년만더살자 지금 bmw 타고다니노?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54261,차대번호같은건 좀 가리고 올려라 번호만 가린다고 다가 아니야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54262,"@익명fbb58b 애비가 바꾼다고하면 싫다고할거랫잔아 근데 뭔 개소리고
얼마나 효자여야되노 니는 부모집사줬나",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54263,"임시번호판차가 아버지차라고하기엔 으심됨..

게이차아니냐?",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54264,기아차라 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54265,ㅋㅋ ㅅㅂ 2011년식 좇구형 선물 받고 멱살잡을듯 ㅅㅂ ㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54266,착하다 돈 더 벌어 대박나고 나중에 밴츠 bmw도 사드려,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54267,호도르 게이ㅇㅂ 카페라떼 카페모카 카푸치노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54268,그동안 아부지 돈 가져다 쓴 게 얼만데.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54269,2ㅂ줌,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54270,효자 ㅇㅂ. 차게이냐?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54271,새로운 시대의 라이프 플랫폼 쏘렌토였습니다.,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54272,그 돈으로 오피 끊어주면 더 좋아해서 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54273,숫자하나 잘못쓴걸로 지랄하노 안경여드름새끼들이,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54274,니차 애비주고 차산거냐? ㅊㅋㅊㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54275,2011년 식인데 임판이노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54276,베충이 멋지다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54277,"1. 일단 저 구형차는 앞모양이 구형 소렌토 후기형 버전임. 05년식정도

2. 신차는 2021년식이라 해야 맞음.

20년된 차를 바꾸는게 아니고 15년된 차 바꾸는거임",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54278,지차 바꿨으면서 애비차 바꿔줬다고 효자 코스프레해서 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54279,그냥 지 차 산 거 아님?,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
54280,아빠 나도,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
