,댓글,출처
39804,@yean095 다리에 붙어있는거 존귀야 어케,./data\유머 짤.csv
39805,@mansunim 귀여오,./data\유머 짤.csv
39806,@yangjeonghwa8667 @seung.ji.han @dabin_golf_official 졸귀야 ㅜㅜㅜ,./data\유머 짤.csv
39807,@ysheeeeeeeeeee,./data\유머 짤.csv
39808,@oozzoozzoo_j 어라?ㅔ,./data\유머 짤.csv
39809,@stella_sunyoung_park 나도 동생하나 사쥬ㅓ,./data\유머 짤.csv
39810,@kim_ejeong ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ일찍자깤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39811,다리에 매달리는거 진짜ㅠㅜ 코알라같고 너무 귀여웡,./data\유머 짤.csv
39812,@u_ryong_,./data\유머 짤.csv
39813,@joo.yeon_cho ㅋㅋㅋㅋㅋ킬링킬링미쳐버렷다ㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39814,@_yeah.z,./data\유머 짤.csv
39815,@l0velybin,./data\유머 짤.csv
39816,@jinnnnnhyung ㅠㅠ다리 매달려잇눈고 기여어ㅜㅠㅠ,./data\유머 짤.csv
39817,@_hyxxk_,./data\유머 짤.csv
39818,@jk0516._ 존귀,./data\유머 짤.csv
39819,@csubin_130 흐아아아아 넘 귀여워ㅠㅠ 귀여워서 눈물난다,./data\유머 짤.csv
39820,@soooyeongg_5,./data\유머 짤.csv
39821,@lyyho_,./data\유머 짤.csv
39822,@geon__zzang 귀여워ㅠㅋㅋㅋ,./data\유머 짤.csv
39823,@h__yevely,./data\유머 짤.csv
39824,@nohjongho ㅠㅠ,./data\유머 짤.csv
39825,@jmnnnn__ 오우 ㅠㅠ 귀엽다,./data\유머 짤.csv
39826,@jin_suh0 사죠,./data\유머 짤.csv
39827,@joooo._.a,./data\유머 짤.csv
39828,@ganghyeyeong1319,./data\유머 짤.csv
39829,@yeo_n29 내가젤좋아하는 광고야,./data\유머 짤.csv
39830,@beom_10.1 기여워억,./data\유머 짤.csv
39831,@subiinnnnn,./data\유머 짤.csv
39832,@00_12__8 나 이거ㅏㅇ고 조아행,./data\유머 짤.csv
39833,"@fitntttt 졸귀..,🧡😭",./data\유머 짤.csv
39834,@mxmhx_x 나 먹을거 사줘 한민하 인데,./data\유머 짤.csv
39835,@sjin_43 @wndms_56 보고힘내세유🐻,./data\유머 짤.csv
39836,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ@1987.10.4,./data\유머 짤.csv
39837,@m_woon8 이거 ?,./data\유머 짤.csv
39838,@yeo_jinee,./data\유머 짤.csv
39839,@eunxael_e 아진짜 아침부터 너무 귀엽네...,./data\유머 짤.csv
39840,@son_da_0 이게 무슨 광고냐 귀영,./data\유머 짤.csv
39841,@j_m1n__ 맛있는 거 백개 사줘😤,./data\유머 짤.csv
39842,@duswls__ 미떼 광고 기억해?? 개기여우뮤ㅜㅠㅠ,./data\유머 짤.csv
39843,@bae_sol 아.......................,./data\유머 짤.csv
39844,@j__i_n.06,./data\유머 짤.csv
39845,@surinatra 내가 말한거!ㅋㅋㅋㅋㅋㅋ너무 귀여워요,./data\유머 짤.csv
39846,졸귀탱😍,./data\유머 짤.csv
39847,@hyeongdue155cm,./data\유머 짤.csv
39848,@mevoyezyez 아침부터 심장을 부여잡는다..,./data\유머 짤.csv
39849,@kkw_whh,./data\유머 짤.csv
39850,@sg_hxxn 존귀 ㅠㅠ,./data\유머 짤.csv
39851,@_soryms_,./data\유머 짤.csv
39852,@ox.exxjx 진짜ㅠㅠㅠㅠㅠ기여워죽겠네ㅠㅠㅠㅠ,./data\유머 짤.csv
39853,@stan.ley9314,./data\유머 짤.csv
39854,@sanginbaba 눈코입이 상인이랑 비슷하다,./data\유머 짤.csv
39855,@32._.2kg,./data\유머 짤.csv
39856,@naninani111111,./data\유머 짤.csv
39857,@baeksira,./data\유머 짤.csv
39858,@hhhyyynnnjin,./data\유머 짤.csv
39859,@92.05.19,./data\유머 짤.csv
39860,@rini_ing,./data\유머 짤.csv
39861,@jonghee_da,./data\유머 짤.csv
39862,@lee_______zzo,./data\유머 짤.csv
39863,"@hxjxngss 이거 진짜 내가 사랑하는 광고
아아아ㅏㅏㅏㅏㅏㅏ너무귀여워 감자떡같아",./data\유머 짤.csv
39864,@yu.g.c,./data\유머 짤.csv
39865,@aksl1922 너무 귀엽다,./data\유머 짤.csv
39866,@gemstone911,./data\유머 짤.csv
39867,@22.07_.h 와 천사다 천사,./data\유머 짤.csv
39868,@sh_secret_forest 이 애기 진짜 넘기여워💕💕,./data\유머 짤.csv
39869,@_ziho_,./data\유머 짤.csv
39870,@mi_isun2,./data\유머 짤.csv
39871,@k_ffekwjd,./data\유머 짤.csv
39872,@jo_onseok01,./data\유머 짤.csv
39873,@xaraxx_mz 동생하나 사죠,./data\유머 짤.csv
39874,@188__hh 아빠 동생 하나 사됴,./data\유머 짤.csv
39875,@v4lkyriex ㅠㅜㅜ너무귀얍다,./data\유머 짤.csv
39876,@00_11_4_ 카와이,./data\유머 짤.csv
39877,@u__miyeon__ 귀여워,./data\유머 짤.csv
39878,@3.6.room 윽...ㄴ내 심자ㅏㅏㅇ,./data\유머 짤.csv
39879,@sungho_8989,./data\유머 짤.csv
39880,@miso.pilates,./data\유머 짤.csv
39881,@210_sweetb ㅋㅋㅋㅋㅋ엄마는돈 많던데에에,./data\유머 짤.csv
39882,@kbbmmm 보미다,./data\유머 짤.csv
39883,@sksmsdbfla_ 기여어.................,./data\유머 짤.csv
39884,@yub1nkim 귀여어 죽게따 으아,./data\유머 짤.csv
39885,@doosick_,./data\유머 짤.csv
39886,@_jiniverse 올해도 미떼광고나오라구 ㅜㅜ,./data\유머 짤.csv
39887,@lim._.ing_ ㅠㅠ,./data\유머 짤.csv
39888,@26260jin,./data\유머 짤.csv
39889,엄마는 돈 많던데~할때ㅋㅋ생활연기 진짜 자연스러웠음ㅋㅋ,./data\유머 짤.csv
39890,@geonyeong4980 꿀밤 때리고싶어ㅋㅋㅋ,./data\유머 짤.csv
39891,@wuxrin ㅠㅠ졸귀탱탱챙볼ㅠㅠ,./data\유머 짤.csv
39892,@hajin_paris_busan,./data\유머 짤.csv
39893,@ha_yeonnnnnni_ 왜 몇번을 봐도 질리지않을까,./data\유머 짤.csv
39894,@seuk_s1007 졸귀ㅜㅜ,./data\유머 짤.csv
39895,@ddolomy ㅠㅠ 하나 사줘라~~~~,./data\유머 짤.csv
39896,@legend.godkang,./data\유머 짤.csv
39897,으이궁 기여워라 ㅠㅠ,./data\유머 짤.csv
39898,@ryu5.h 승호 애기때 살짝 닮았닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39899,@h.r_u.oun_ 왜? 할 때 이하루 닮음ㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39900,@good2ffect,./data\유머 짤.csv
39901,@yunyuhyeon_0425 @yu__hyeon_0425,./data\유머 짤.csv
39902,@h__byoul 기분조아져,./data\유머 짤.csv
39903,@uuuuuuni_6 ㅋㅋㅋㅋ,./data\유머 짤.csv
39904,둘이케미가좋네❤️,./data\유머 짤.csv
39905,귀여워ㅠㅠㅠㅠㅠㅠㅠㅠ @sini_vly,./data\유머 짤.csv
39906,@carina._.ii 애긔 너무 귀여웡!!!!,./data\유머 짤.csv
39907,언제들어도좋네,./data\유머 짤.csv
39908,노래존좋 ㅠㅠㅠ,./data\유머 짤.csv
39909,@_06_naa @hyori6966 어디서 많이 들어봤쥬,./data\유머 짤.csv
39910,@_golden__yh_ 나인싸ㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39911,@lee_dong_hyukkk ㅋㅋㅋㅋㅋㅋ노래 잘 찾았넹🤭,./data\유머 짤.csv
39912,@migjang 이런 노래 또 찾아서 알려조라,./data\유머 짤.csv
39913,@yoon1011_j 중간에 댓글 니가 단거지,./data\유머 짤.csv
39914,@dae_yoon.224 이 노래 알지?내가 저번에 알려줬자나,./data\유머 짤.csv
39915,@minsu6032 노래좋당,./data\유머 짤.csv
39916,@yuuuurim____ 어때,./data\유머 짤.csv
39917,"@really.3827 ,난인싸다",./data\유머 짤.csv
39918,@da_capo526 아까 그 팝송,./data\유머 짤.csv
39919,@jinxijuan 이 노래 좋앙 ㅎㅎㅎㅎ,./data\유머 짤.csv
39920,@im_z7ooz 이노래 아니????,./data\유머 짤.csv
39921,@_juhee__ 인싸였어,./data\유머 짤.csv
39922,@kim__jiiieun ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39923,@s.eols 요기,./data\유머 짤.csv
39924,@doyaki_ 난진작에저장ㅋㅋㅋ 넌 인싸임?,./data\유머 짤.csv
39925,@_hyo_dl 이노래 쪼아,./data\유머 짤.csv
39926,@94eun_n 완전 좋아노래,./data\유머 짤.csv
39927,@x0jung,./data\유머 짤.csv
39928,@ddo_ony,./data\유머 짤.csv
39929,ㅠㅜㅠ존잘러@really.3827,./data\유머 짤.csv
39930,ㅋㅋㅋ딱걸림,./data\유머 짤.csv
39931,진짜흐뭇하게생겼다,./data\유머 짤.csv
39932,@gumyomi,./data\유머 짤.csv
39933,@hyenl_ 나방금 미소지였다,./data\유머 짤.csv
39934,@5986aa 😍,./data\유머 짤.csv
39935,@__4._29 캬.......,./data\유머 짤.csv
39936,@hyegyora 정말 깜찍하게 웃는다🙊🙊❤️❤️,./data\유머 짤.csv
39937,@18._.he 야 장윤정쌤 닮았다 맞제,./data\유머 짤.csv
39938,@b__bit ㅋㅋㅋㅋ딱걸림,./data\유머 짤.csv
39939,@soomin_y617 아니,./data\유머 짤.csv
39940,@jslm94 흐앙,./data\유머 짤.csv
39941,@o_ssssan 박보검 당신... 랜선으로 나 꼬시는거맞자나....^^,./data\유머 짤.csv
39942,@iam.minzi 진짜 이런애를 민서공이 따위랑 비교라니 후 ㅎ,./data\유머 짤.csv
39943,@jongsoowoooo 종수볼때 내 표정인뎅,./data\유머 짤.csv
39944,@k_b_narae,./data\유머 짤.csv
39945,@dong__beooom 오빠 웃을 때 이렇게 예뻐😊,./data\유머 짤.csv
39946,@hyebby_y 나 현재 이빨 20개 보임,./data\유머 짤.csv
39947,@kipa.kupa,./data\유머 짤.csv
39948,@joykim_510,./data\유머 짤.csv
39949,@k._.mebzi 너 이러고 보냐,./data\유머 짤.csv
39950,이게 병이였다니... 난 그냥 눈⍤⃝𓂭 부셔서 생겼는줄 알았는데...,./data\유머 짤.csv
39951,헉;;;;,./data\유머 짤.csv
39952,나나이거 사물궁이에서 봄,./data\유머 짤.csv
39953,지금 스물둘인데 비문증 너무 심해요ㅠㅠ 엄청 거슬립니다....여러분 안 걸리게 조심하세요 😢,./data\유머 짤.csv
39954,@plj.j 쥬쥬야 언니 이거야.....😂,./data\유머 짤.csv
39955,@ljh2635 나 한번씩 보임;;,./data\유머 짤.csv
39956,@_tang_03 초딩 때부터 보이는디.,./data\유머 짤.csv
39957,"@kitty_yeojin 유딩때도 보였는데 노화 유딩때부터 왔노,,",./data\유머 짤.csv
39958,@1ga__ye0_0n23 이거!!!,./data\유머 짤.csv
39959,@p._.urhur 나 이거 초딩때부터 그랬는디,./data\유머 짤.csv
39960,@seo_hy76 ㅁㅊ..? 나 가끔 보이는데..?,./data\유머 짤.csv
39961,"@ca._.123 ㅐ가 말한 렁이가 이거였음,,, 저 지렁이 나만 보이냐거 ㅋㅋㅋㅋㅋㅋ",./data\유머 짤.csv
39962,@doyaki_ 헐난데,./data\유머 짤.csv
39963,@jaee_0827 헐 어쩌다 보이는데,./data\유머 짤.csv
39964,@7.21_p 헐 나자나,./data\유머 짤.csv
39965,@onetopia 오 나 한 번씩 이래 ㅜㅜㅜㅜ 라섹 후유증인줄,./data\유머 짤.csv
39966,@choex2 내가말한게이거,./data\유머 짤.csv
39967,개웃겨 ㅋㅋ,./data\유머 짤.csv
39968,"@uihyun_ 뭔가 아빠분 목소리 짱구 아빠 목소리 같어,,",./data\유머 짤.csv
39969,@auaicn_ 아닠ㅋㅋㅋㅋㅋㅋㅋㅋ이거 마지막봐봨ㅋㅋㅋㅋ,./data\유머 짤.csv
39970,@master.__.yoda 목사님 이거 올라왓어여ㅠㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39971,@sea_it_ @jyeongi._ 목소리 어디서 들어보지않음.??,./data\유머 짤.csv
39972,@sso_rim79 @yun_g12 ㅋㅋㅋㅋㅋ이거봐ㅠㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39973,@chan_song02 소리랑 같이 들어보셈,./data\유머 짤.csv
39974,@90mhs09 나자야되는뎈ㅋㅋㅋ이거 넘기려웤ㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39975,@_for__rest__,./data\유머 짤.csv
39976,@fu.ur_yi_00 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 알아들은거 아냐??? 만약 나중에 우리 애 생기면 난 저럴리는 없겠당ㅎ,./data\유머 짤.csv
39977,@q_q_dong 개귀여웤ㅋㅋㅋㅋㅋㅋ마지막까지 꼭봐라 외출이라고 안보고 본척하면 안돼,./data\유머 짤.csv
39978,@kanghyun1211 이거 제발 꼭 끝까지 봐줘,./data\유머 짤.csv
39979,@ireene_cho 다 알아듣나봨ㅋㅋㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋㅋㅎ,./data\유머 짤.csv
39980,@iyungu,./data\유머 짤.csv
39981,@iron_princess_sd 이거도 마지마앜ㅋㅋ,./data\유머 짤.csv
39982,@sj0948 엄마 ㅋㅎㅋㅎㅋㅎㅎㅎㅋㅎㅎㅎㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39983,@dssc_ll ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39984,@inwooooo__ 마지막까지 꼭 봐봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
39985,@tt_uk_ 이거 끝까지 봐바ㅠㅠㅠㅠ 너무 귀여워,./data\유머 짤.csv
39986,@cherie88 😆,./data\유머 짤.csv
39987,@jonyoni_😏,./data\유머 짤.csv
39988,@wed.string 대박대박,./data\유머 짤.csv
39989,@julian18.02.22 ㅋㅋㅋㅋㅋ거짓말못하는아기,./data\유머 짤.csv
39990,@gigi_mm 귀여워🤦‍♀️🤦‍♀️,./data\유머 짤.csv
39991,@0.098a 마지막ㅋㅋㅋㅋ,./data\유머 짤.csv
39992,@__c1e__ 미치겠댴ㅋㅋㅋㅋㅋ미밐아ㅠ끝에 꼭봐봨ㅋㅋㅋ,./data\유머 짤.csv
39993,@y.been_25 ㅋㅋ,./data\유머 짤.csv
39994,@mincaei4 끝까지 보바ㅏㅋㅌㅌㅌㅌㅎㅌㅎㅌ,./data\유머 짤.csv
39995,@jacob.taegyu ㅋㅋㅋㅋㅋㅋㅋㅋ이거머여,./data\유머 짤.csv
39996,@922yr,./data\유머 짤.csv
39997,@sksmsdbswlsghks ㅋㅋㅋㅋㅋ 귀여웤ㅋㅋㅋ,./data\유머 짤.csv
39998,@moraka_no 웃기다,./data\유머 짤.csv
39999,@seeeunggu 아기 솔직하노,./data\유머 짤.csv
40000,@_rin0908 ㅋㅋㅋ,./data\유머 짤.csv
40001,@lil4ac0210,./data\유머 짤.csv
40002,@me_hyeon_ 애 키우고 싶어지는 영상이에욤,./data\유머 짤.csv
40003,@sujeong__0517 zz,./data\유머 짤.csv
40004,@hi_im_yunse0 기여웡 ㅠㅠ,./data\유머 짤.csv
40005,@sungmin3092 오빠 이히히히같아,./data\유머 짤.csv
40006,@yudianavia @destara_26 얘들아 논문 쓴는게 질리지? 🤭 @ai_aisna,./data\유머 짤.csv
40007,@yeoptti,./data\유머 짤.csv
40008,@wjdal21 않이ㅋㅋㅋㅋ,./data\유머 짤.csv
40009,@calix_paulownia 끝까지 봐봐ㅋㅋ,./data\유머 짤.csv
40010,@hans___m,./data\유머 짤.csv
40011,@ganghyunnnn ㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
40012,@uuuuuuuri_y,./data\유머 짤.csv
40013,@caschj ㅋㅋㅋ,./data\유머 짤.csv
40014,@_2_ryeong,./data\유머 짤.csv
40015,@e_ssho 이건 ㄹㅇ 끝까지 들어야되,./data\유머 짤.csv
40016,@_sara_cee_ ㅋㅋㅋㅋㅋ,./data\유머 짤.csv
40017,@chunpak2 준우는 잘 생겼다 ?,./data\유머 짤.csv
