,댓글
280,유투브 분위기는 답정너에요. 해명하셔도 들어주지 않고..ㅜㅜ 그것이 알고싶다같은 다큐멘터리처럼 전문적인 형식으로 시각적으로 알기쉽게 설명을 해보시면 어떨까요? 사망여우측 자료와 대조해서 어떤 부분이 사실과 다른지.. 특히 이겁니다가 어떻게 꼬인건지.. 하지만 이건 제 개인적인 생각이구요 주위에서 만류하면 하지마시구요.. 도움이 많이 못되서 죄송합니다 ㅜㅜ
281,"강아지 계정 차단하셔서 제 계정으로 왔어요!!! 뻔뻔하다는 말이 너무 쪽팔리셨는가봐요~ 이글은 맞춤법도 틀리셨네요!! 세상에 꼼꼼하신분이 왜이러셨을까....? ~의, ~에 차이 아직 모르시면 알려드릴까요?"
282,저도 ㅜㅜ 이상민삼퓨라고 사서 썼는데 ㅜㅜ
283,오빠.뭔일이래요.힘내시고 ~연예인은 참 힘드네요ㅠ.ㅠ
284,모델이잘못하면 배상청구하던데 사과문으루땡.ㅡㅡ
285,상민씨...그동안 힘든과정 잘견뎌살아왓고..지금까지 현실을 잘이겨내왓는데..이런일에 기죽지마세요.그리고 키보드워리어들은 헛점을 파고드는 쓰레기들입니다.너무 신경써지말고 앞으로도 지금처럼 즐겁게 살아가시면 좋을듯합니다.예전의 상민씨노래부른것처럼 즐겁게 살아갓으면좋겟어요.힘내세요.화이팅!!?
286,전 형님 응원합니다👏
287,응원합니다!! 삶으로 저에게 많이 도전을 주시네요!! 다른 사람들처럼 말만 가득한 모습이 아니라 멋진 삶으로 보여주시기 때문에 많은 분들이 응원해주시네요!! 좋은 하루 되세요👏👏
288,"안녕하세요 상민형 형 나오시는 차달남 미우세등 재미있게 보는 팬입니다. 최근 논란에 비난받으시는 모습 너무 마음이 아파서 메시지를 드립니다.
지금 여론이 너무 좋지 않아서 형님께서 직접 말씀을 해주셔야 잠잠해질거 같습니다. 올려주신 해명기사로는 많이 부족한거 같더라구여(얼굴 노출을 안하신것도 말이 많구요)
대표적인게
1.이상민도 어헤즈샴푸도 라스에서 언급한 샴푸가 어헤즈샴푸 아니라고 인정함
2.이상민은 라스로 인한 “이상민샴푸”검색어1위 이슈를 어헤즈 광고에 쓰이는지 몰랐다 해명
3.그러나 이상민은 어헤즈 샴푸 홈쇼핑등에 직접 출연하여 “이상민샴푸” 검색어1위 이슈를 이용해 광고함(증거영상있음)
몰랐다더니 직접 그 이슈로 홍보를 했다
이 문제를 주로 이야기 하던데 오해가 있으셨던 부분은 직접 말씀을 해주시고 사과하실부분은 사과하셨으면 좋겠다는 입장입니다.
정말 걱정이어서 드리는 말씀이니 기분이 상하신 부분이 있다면 죄송합니다"
289,"혹 유튜브 영상 편집된게 없으신건가요?
안올라와서요? 보고싶어요. 은근 중독성이요. ㅎ
죄송하지만 정말 전문적인 제품리뷰어는 아니시디만 컨텐츠 내용이 정감간다고나 할까요? 전문적이지 않는 듯하지만 친근감 가는 표현과 약간 전문적이지 않으신 제품리뷰가 정감가고 재미있는거 같아요. 새로운 영상 올려주셔요."
290,사망여우 업뎃 됐음요
291,날개잃은천사 표절곡이었나요?
292,Still remember when Seungri came to a brothers and told that GD was shy when Sangmin came to say hello 😃
293,Sangmin oppa you are legend 💕💝
294,✨✨✨Gdragon loves sangmin✨✨✨
295,우오... 태가 다르구나 벌써 스웩이 줄줄 흐르네
296,오👏👏👏👏
297,귀욤~~^^ 나 그대 우리모두😍😍
298,So beautiful omg ❤️❤️
299,King of k pop
300,Gd 😘
301,😘
302,"He has always been so cute. And the way he dances, never changed. ❤️😍"
303,👏👏👏🙊🙊🙊🙊
304,😍😍👏👏
305,you should tag GD
306,ㅋㅋㅋ
307,천사를 찾아~
308,나 그대 우리 모두
309,👏👏👏
310,ㅋㅋㅋ 상마인드형님 뿌듯 👏👏👏👏👏👏👏
311,🤣🤣당신아들닮았네요빨리결혼하세요소백합이랑결혼하는게좋을것같아요.
312,👍3.4❤️❤️
313,🤔
314,@love_mysarah 꺅 귀요미 지디당! 😍😍
315,😍 memories 💕
316,❤️
317,"날개잃은 천사는 당시, 국민노래였지"
318,👏👏Little Roo'Ra💙GD:)
319,Will you and roora make a comeback? 🥺
320,Three Four!!! ❤️❤️
321,3!4! Love 😍😍😍❤️❤️
322,날개를 빨리 찾으셔야 될텐데...
323,He is indeed king of kpop 😍😍😍 sangmin oppa 😍😍😍😍
324,Little roora 😂💙cute
325,lol
326,okay?
327,❤️
328,Muito fofo...❤️❤️❤️
329,🤩😍🤩
330,Adorable 💙😂
331,I love you ❤️❤️
332,❤️❤️❤️❤️
333,악 너무 귀엽당ㅎㅎ
334,😍😍💛💛💛💛💛
335,💗💗💗💗
336,@xxxibgdrgn
337,구ㅏ여워👍🏻
338,❤️❤️
339,❤️❤️❤️
340,@elsy_e93 😂😍❤️
341,😂😂😂😂
342,little roora 💗
343,Cute💕💕💕💕👑
344,😍😍😍
345,❤️❤️❤️✨
346,Cute🤣🤣🤣🤣
347,Always!!my king!!
348,🔥🔥♥️♥️
349,❤️❤️❤️❤️
350,GD Socute
351,👏👏👏
352,@xxxibgdrgn 어린 GD 오빠 ....... ❤️
353,I died when I saw this
354,❤️❤️❤️❤️😍😍😍😍kiyo
355,❤️❤️❤️❤️
356,Wow!
357,🌹🌹🌹🔥
358,😍😍😍😍
359,@y_eonn.kk 대박
360,Little GD
361,다른 멤버는 뭐하고 있을까
362,I love
363,@sara.raquel._
364,@xxibgdrgnnxx
365,💟💟💟💟💟💟
366,💓💓💓💓
367,@xxxibgdrgn i hope you see this love!!!😭💖
368,IM 16 and i love 3 4 !!
369,@xxxibgdrgn Jiyong Oppa 👍
370,❤️❤️Born to be a ...👏👏👏😂
371,Does he talk about you now
372,@sangmind32 Hyung really is the God of music. Spotted this talent so early 👌🏽💯🔥
373,@dddonghyun 멋지네 애기 지룡쓰 ㅋ
374,사망여우 보니깐 알기쉽게 증거 다 보여주던데요...넘안타까워요!!에휴!!
375,he just cant wait to see GD comeback😁
376,💙💙
377,ㅇㅇ
378,👍👍👍👍👍👍
379,✊🏻🙆🏻‍♂️🌙
380,꺅~~~👍👍👍
381,😍😍😍😂❤️
382,😍😍😍😍
383,권지용 너무 오랫만이에요.권지용 룰라춤출때 제가 룰라춤을 가르쳐 줬어요🥰🥰🥰
384,I love you gdragon😄😘
385,Cuteeeeee 😍😍😍😍😍😍💙💙💙💙
386,"oppa fighting, sending you big love❤️"
387,오빠 맛저하셨나요?❤️ 오늘 하루도 너무 고생 많으셨어요🙏❤️ 오빠는 존재만으로 소중하고 사랑받는 사람 ❤️ @sangmind32
388,"G dragon don't wanna remember this time,so stop 😂😂"
389,힘내세요 상민님^^
390,온 국민이 룰라 노래를 사랑했던 그시절 그립습니다 가수 이상민 프로듀서의 이상민 작곡가 이상민 어떤것도 뒤쳐지지않으셨었져 언젠가 그모습을 볼날을 기다리고 믿습니다~힘내세요
391,상민씨 응원합니다👍
392,상민오빠 fighting
393,사람 참 안바뀌네여 상민님 ^^ㅋㅋㅋㅋㅋㅋ
394,곧 하차❤️
395,🤣🤣🤣🤣 내가 깍아줄게 넘 웃겨요🤣🤣🤣🤣
396,"오빠 여러분, 더보이즈와 에이비식스를 초대합시다. 정말 기대하고 있어요~~^^"
397,❤️❤️❤️
398,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오빠의 욱한 발성
399,ㅋㅋㅋㅋㅋㅋㅋ😩💓
400,Now i know how international ARMY feels when there is no CC on videos that BTS is speaking.
401,ㅋㅋㅋ 따라가서 한번 체험 해보세요 😊
402,😉😉😉😁😁😁😁👍👍👍💖💖
403,🤣🤣🤣 so much cute❣️
404,😘
405,💙
406,ㅋㅋㅋㅋㅋ😂
407,Oppa you're so funny hahahaha
408,😂😂😂😂😂
409,Esse show é excelente!😘 🇧🇷🇧🇷
410,😊😊😊
411,하지마요. 슬퍼요 😂😂😂
412,🦶🏼
413,내가 깎아줄게 ㅋㅋㅈㅋ
414,ㅋㅋㅋㅋㅋ
415,Hyung english sub please 🇵🇭💯🤟🤣
416,"Acara paling aku tunggu"" yang selalu buat tertawa😆from indonesia"
417,ㅋㅋㅋㅋㅋㅋㅋ 넘 웃경
418,"ㅋㅋㅋㅋㅋ Semngat Terus Hyung, Semoga Selalu Bahagia, Leader Roora Fighthing 👏👏"
419,C est une super émission . Mer
420,Ahahahahaah😂
421,Elle met en valeur les invités... beaucoup d humour...un bon moment à chaque fois
422,I don’t fully understand but it’s something about how much money JangHoon-shi makes from basketball
423,이건 뭔가요?? 띠용 ㅋㅋㅋㅋㅋ
424,Sangmin oppa I love you❤️
425,ㅋㅋ ㅋㅋㅋ ㅋㅋ
426,😂발톱 ㅋ
427,🤣🤣
428,등골이 오싹해지네요....😇
429,안돼요~~
430,😂😂
431,😄🤣💕💜💜💜
432,어우 스티치 제발 플리즈 마르지엘라😆
433,허어어억😱
434,ㅋㅋㅋ
435,❤️
436,I remember this movie... so scary~
437,💕
438,😱😱😱
439,😂😱
440,첫번째ㅜㅜ딱 저...같은사람
441,😮😮
442,밀크🎅🎅🎅
443,오프화이트 거슬려서 자른 1인ㅠ
444,전 오프화이트 신고 친정가면 다들 가위들고 달려드심.... 🤦🏻‍♀️
445,ㅋㅋ 두번째사진 🙋‍♀️를 보는듯요~~🤣🤣🤣
446,거즘 고문 수준인뎀-_-
447,🤭🤭
448,2번째 사진.. ..전..줄.... ..
449,채리나씨가 오프화이트 가위로 자르고 신었다고했었죠ㅋㅋ
450,아 제발😭😭😭😭😭😭ㅋㅋㅋㅋㅋ
451,^^
452,우앜ㅋㅋㅋㅋㅋ 마르지엘라 공감이요 ❤️❤️
453,소리 지를만한데요ㅋㅋㅋ
454,😂 제시 처음에 다 잘라내고 신어서 알려줬더니 이젠 잘 남겨두고(?) 신는 다는 말 생각난다 😅
455,@unihouse16 ㅋㅋㅋ두번째😭😭😭
456,"@j2ns5n2 저거 언니 지갑?ㅋㅋㅋ아닌가요,"
457,💖
458,아 짜르고 뜯고 하는게 아니군요^^ 새거샀다고 자르는쥴
459,@hihi4796
460,센스짱 ㅎ
461,ㅋ ㅋ ㅋ
462,오우 끔찍해라
463,Invite Stray kids please 😭
464,😍
465,음악의신 인정👍👍👍👍👍👍👍
466,🤩🤩🤩
467,😍
468,👍👍👍 역쉬😍😍😍😍
469,😁
470,I love you ❤️❤️
471,음악의 신 시즌3 가즈아🔥🔥🔥
472,❤️
473,You're on top of it❣️😊
474,god of the rap
475,음악의신 제발 3 부탁합니다 . 요즘 탁궁케미 음신보는것같아 재밌어요
476,좋은 음악 많이 들려주세요~ 💕 연말에 어디 가지도 못할 것 같은데 집에서 좋은 음악 듣고 기분내고 싶어요 😘
477,음악의신 또 안하나요? 제발또해줘여😭
478,😂😍❤️
479,음악의 신 시즌3 함 가시죠~~ㅎ
480,You’re the best ❤️❤️
481,I miss god of music
482,음악의신!!!!!👏👏👏👏👏
483,Thats right. Sungmin is the god of music and no one can replace him😌💐
484,Good morning😁
485,❤️
486,I miss suju come to knowing brothers💙
487,"Lee Sang-min, the God of Music"
488,What episode?
489,어제 토요일 아는형님 너무 찐짜로 잘봣어요
490,Please invite #treasure @yg_treasure_official
491,허위사실 유포면 법적대응 해야하는게 일반적인거 아닌가요..? 허위사실이 아니니까 법적 대응을 못하시는거같네요. 악플이아니라 진심으로 하는말 입니다 . 거짓말을 덮으려고 더 큰 거짓말을 하지마시길 바랍니다. 가족에게 지인에게 부끄러운 사람이 되지마시길..
